county_name,total,under1,under10k,under25k,under50k,under75k,under100k,under200k,over200k,fipscode
Yalobusha County,5300,100,840,1620,1570,620,290,230,30,28161
Yazoo County,9610,150,1480,3550,2270,930,540,560,130,28163
Beaverhead County,4410,170,860,990,990,630,380,330,60,30001
Big Horn County,4780,80,910,1310,1270,580,320,260,50,56003
Blaine County,2680,80,570,630,690,350,200,130,30,40011
Broadwater County,2520,100,380,490,600,410,260,240,40,30007
Carbon County,4950,170,790,1090,1040,700,500,520,140,56007
Carter County,560,30,70,140,140,70,60,50,0,47019
Cascade County,39840,490,6520,10360,9980,5360,3310,3110,710,30013
Chouteau County,2350,70,410,530,580,320,210,190,40,30015
Custer County,5750,110,930,1350,1360,800,550,540,110,46033
Daniels County,920,40,140,160,210,140,110,100,20,30019
Dawson County,4480,60,620,840,1020,760,520,540,120,48115
Deer Lodge County,4170,40,760,1030,1040,590,360,300,50,30023
Fallon County,1560,30,200,230,340,250,180,260,70,30025
Fergus County,5720,180,1020,1340,1340,800,490,450,100,30027
Flathead County,46370,1120,7750,11100,10860,6390,3850,4010,1290,30029
Gallatin County,48940,1090,7890,11130,11370,6540,4160,4950,1810,30031
Garfield County,550,30,90,110,130,80,60,50,0,53023
Glacier County,5380,100,1310,1450,1360,560,300,270,30,30035
Golden Valley County,460,30,120,90,100,50,30,40,0,38033
Granite County,1330,50,210,300,330,190,110,100,40,30039
Hill County,7700,100,1450,1890,1670,1080,740,660,110,48217
Jefferson County,5410,140,860,980,1080,810,610,760,170,55055
Judith Basin County,990,90,160,210,230,140,80,80,0,30045
Lake County,12190,350,2390,3090,2880,1560,870,860,190,47095
Lewis and Clark County,32890,430,4940,6760,7860,5070,3430,3670,730,30049
Liberty County,1000,0,280,260,190,120,60,90,0,48291
Lincoln County,8020,240,1350,2080,1920,1090,680,560,100,56023
MONTANA,487280,9960,82770,113530,113530,66780,43110,45680,11920,30000
Madison County,3730,160,590,810,910,530,330,300,100,51113
McCone County,910,70,160,190,220,110,80,80,0,30055
Meagher County,810,40,140,220,190,90,60,70,0,30059
Mineral County,1930,60,300,550,490,270,120,120,20,54057
Missoula County,54800,980,9900,14060,12310,6850,4390,4910,1400,30063
Musselshell County,2000,90,330,460,420,280,200,180,40,30065
Park County,8390,270,1500,1990,2040,1160,710,560,160,56029
Petroleum County,190,0,40,60,50,20,20,0,0,30069
Phillips County,2040,90,380,470,480,280,180,160,0,30071
Pondera County,3000,50,740,750,660,370,240,160,30,30073
Powder River County,830,30,130,170,200,120,80,80,20,30075
Powell County,2700,80,520,640,700,370,200,170,20,30077
Prairie County,540,20,80,120,130,80,50,60,0,30079
Ravalli County,19000,590,3340,4490,4370,2660,1580,1580,390,30081
Richland County,6210,90,760,960,1310,970,730,1030,360,55103
Roosevelt County,4440,70,930,1000,1060,560,370,370,80,35041
Rosebud County,4020,60,800,790,830,550,480,460,50,30087
Sanders County,4750,190,890,1240,1150,640,320,270,50,30089
Sheridan County,2020,30,300,380,460,320,210,250,70,56033
Silver Bow County,16430,230,3070,4090,3740,2130,1360,1510,300,30093
Stillwater County,4300,140,640,790,770,640,580,640,100,30095
Sweet Grass County,1690,70,330,340,350,220,150,190,40,30097
Teton County,2960,70,620,620,670,420,250,250,60,56039
Toole County,2380,50,520,560,470,280,230,230,40,30101
Treasure County,370,0,70,70,90,60,40,40,0,30103
Valley County,3740,110,650,850,800,480,370,400,80,31175
Wheatland County,940,30,240,220,220,110,50,70,0,30107
Wibaux County,520,0,90,120,120,60,60,70,0,30109
Yellowstone County,75900,900,11750,16610,17760,10740,7250,8380,2510,30111
Alamance County,68210,670,10590,18060,17700,8900,5410,5730,1150,37001
Alexander County,15080,200,2480,3890,4180,2140,1150,880,160,37003
Alleghany County,4450,110,840,1280,1130,570,240,220,60,51005
Anson County,9490,110,1670,3120,2580,1050,510,390,60,37007
Ashe County,10820,230,2010,3060,2670,1380,770,580,120,37009
Avery County,6890,160,1270,1920,1760,850,460,390,80,37011
Beaufort County,20120,310,3270,5550,4790,2450,1670,1710,370,45013
Bertie County,8010,100,1350,2630,2220,890,420,340,60,37015
Bladen County,13070,200,2110,3740,3890,1500,810,710,110,37017
Brunswick County,53420,990,7890,12380,11840,7130,5100,6590,1500,51025
Buncombe County,119910,2180,19760,30170,29690,15360,9030,10280,3440,37021
Burke County,36770,340,6280,10230,10300,4810,2430,1950,430,38013
Cabarrus County,83850,890,12510,18720,19650,11160,7870,10630,2420,37025
Caldwell County,33190,380,5770,9330,8800,4500,2300,1740,370,48055
Camden County,4430,40,550,830,1090,710,570,570,70,37029
Carteret County,31910,600,5090,7580,7500,4470,2790,3120,760,37031
Caswell County,9260,110,1500,2590,2540,1250,670,540,60,37033
Catawba County,70180,890,11540,17730,18310,9060,5250,5620,1780,37035
Chatham County,30990,450,4140,6440,6690,3820,2810,4730,1910,37037
Cherokee County,10800,260,2090,3130,2690,1290,710,520,110,48073
Chowan County,6300,110,1040,1720,1510,770,510,520,120,37041
Clay County,4310,110,850,1130,1000,540,320,300,60,54015
Cleveland County,40490,420,6980,11190,10400,5330,3070,2610,490,40027
Columbus County,21320,320,3640,6590,5500,2440,1350,1280,200,37047
Craven County,46000,470,6670,12350,11480,6250,3900,4050,830,37049
Cumberland County,141600,1360,21080,39860,39870,17790,9750,10020,1870,51049
Currituck County,11320,160,1630,2470,2640,1650,1250,1330,190,37053
Dare County,19100,420,3110,4450,4840,2460,1520,1770,530,37055
Davidson County,70980,860,11390,18080,18390,9860,5940,5480,980,47037
Davie County,18470,320,2810,4070,4310,2600,1730,2030,600,37059
Duplin County,23540,310,3670,7290,7270,2400,1280,1120,200,37061
Durham County,137610,1580,18970,32130,36480,17440,11140,15150,4720,37063
Edgecombe County,23160,200,4230,8270,6060,2210,1150,900,140,37065
Forsyth County,163560,1920,25780,41940,38790,20640,13000,15850,5640,37067
Franklin County,25430,340,3940,6380,6640,3440,2200,2200,290,53021
Gaston County,91060,850,14700,23230,23370,12270,7270,7720,1650,37071
Gates County,4650,60,670,1090,1260,740,420,380,30,37073
Graham County,3280,70,600,980,800,450,220,130,30,37075
Granville County,24640,250,3370,6150,6620,3440,2140,2320,350,37077
Greene County,7640,90,1180,2490,2160,860,470,330,60,51079
Guilford County,230500,2980,37610,58680,56070,27270,17400,22770,7720,37081
Halifax County,21960,210,3910,7300,5850,2300,1190,990,210,51083
Harnett County,48150,550,7300,12050,13000,6810,4160,3800,480,37085
Haywood County,26410,480,4430,7090,6340,3620,2180,1890,380,47075
Henderson County,50910,890,7930,12500,11980,7160,4530,4870,1050,48213
Hertford County,8690,120,1510,2740,2370,900,480,480,90,37091
Hoke County,19780,150,2700,5640,5800,2860,1370,1160,100,37093
Hyde County,2100,40,350,630,560,250,130,100,40,46069
Iredell County,75370,1150,12390,16730,17490,9950,6470,8200,2990,37097
Jackson County,15000,310,2750,3970,3720,1940,1090,970,250,55053
Johnston County,76020,860,11290,17490,18870,10880,7420,8050,1160,40069
Jones County,4300,70,670,1270,1210,550,260,230,40,48253
Lee County,25860,270,4100,7110,6740,3190,2000,2070,380,51105
Lenoir County,25670,260,4530,8160,6980,2610,1530,1290,310,37107
Lincoln County,34380,390,5300,7930,8200,4720,3100,3730,1010,56023
Macon County,15210,370,2760,4330,3740,1820,1000,930,260,47111
Madison County,8430,190,1500,2220,2180,1150,620,480,90,51113
Martin County,10320,160,1840,3140,2750,1150,660,540,80,48317
McDowell County,18100,180,3010,4920,5340,2390,1250,850,160,54047
Mecklenburg County,469810,6040,67800,109250,113150,58230,35580,54320,25440,51117
Mitchell County,6040,120,1050,1630,1570,900,440,290,40,48335
Montgomery County,10930,130,1800,3460,2990,1220,610,570,150,51121
Moore County,41810,690,6000,9170,9430,5680,4040,5210,1590,48341
Nash County,43220,450,7030,12130,11100,5430,3060,3300,720,37127
New Hanover County,99180,1950,16250,23350,23060,12050,7900,10880,3740,37129
Northampton County,8060,100,1290,2540,2280,880,510,400,60,51131
Onslow County,77050,600,10910,23290,21920,9910,5190,4600,630,37133
Orange County,59430,910,8740,11390,12590,6690,4800,8970,5340,51137
Pamlico County,5410,100,870,1320,1280,720,490,530,100,37137
Pasquotank County,17020,160,2830,4550,4340,2330,1350,1240,220,37139
Pender County,23530,360,3790,5760,5760,3070,2070,2310,410,37141
Perquimans County,5740,80,840,1470,1390,830,540,500,90,37143
Person County,16820,170,2660,4230,4500,2380,1370,1340,170,37145
Pitt County,69830,800,11770,19770,16380,7950,5220,6220,1720,37147
Polk County,8780,220,1500,2070,2040,1180,750,790,230,55095
Randolph County,61390,720,10170,16570,16490,8310,4690,3790,650,54083
Richmond County,18250,190,2990,6420,4660,1960,1060,850,120,51159
Robeson County,50100,420,9120,17920,13510,4670,2270,1830,360,37155
Rockingham County,39130,450,6370,10470,10450,5200,3080,2730,380,51165
Rowan County,59630,770,9850,15910,15490,8120,4640,4040,810,37159
Rutherford County,25150,360,4410,7150,6530,3240,1760,1390,310,47149
Sampson County,29070,310,4430,8580,9430,2920,1660,1450,290,37163
Scotland County,13630,100,2430,4520,3430,1500,790,730,130,37165
Stanly County,25230,320,4020,6450,6600,3570,2180,1790,300,37167
Stokes County,19500,250,2980,4710,5110,3050,1830,1410,160,37169
Surry County,30170,470,5260,8440,7670,3900,2210,1810,410,51181
Swain County,7810,100,1440,2290,2130,910,420,480,40,37173
Transylvania County,13980,270,2380,3610,3300,1850,1060,1230,280,37175
Tyrrell County,1630,30,340,490,440,170,100,60,0,37177
Union County,90480,1280,13750,17860,19250,11700,8470,13120,5050,47173
Vance County,18540,200,3290,6310,4910,1830,1040,810,150,37181
Wake County,457580,5790,62530,86030,100440,57920,42560,74840,27470,37183
Warren County,7610,100,1280,2410,2180,810,440,320,70,51187
Washington County,5260,60,990,1690,1310,530,330,300,50,55131
Watauga County,18660,440,3720,4480,3950,2340,1420,1750,560,37189
Wayne County,51780,490,7710,15420,14490,6310,3600,3110,650,54099
Wilkes County,27250,390,4740,7800,6980,3580,1900,1520,340,37193
Wilson County,35550,360,5900,10430,9020,4220,2450,2610,560,48493
Yadkin County,15990,180,2630,4110,4190,2320,1310,1080,170,37197
Yancey County,7160,140,1270,1910,1890,1020,500,350,80,37199
Adams County,1120,40,150,230,270,160,120,120,30,55001
Barnes County,5460,80,780,1110,1280,860,580,610,160,38003
Benson County,2630,30,520,670,660,330,180,180,60,38005
Billings County,480,0,60,70,100,70,70,80,30,38007
Bottineau County,3340,70,450,570,720,500,430,440,160,38009
Bowman County,1700,50,250,270,340,240,200,260,90,38011
Burke County,1250,20,150,140,210,180,180,270,100,38013
Burleigh County,45030,350,5710,8040,10530,6290,5160,6960,1990,38015
Cass County,81050,550,10850,16890,20610,11170,7830,9670,3480,48067
Cavalier County,2040,30,240,390,450,310,210,290,120,38019
Dickey County,2520,60,340,500,540,470,260,260,90,38021
Divide County,1330,20,140,190,230,190,150,260,150,38023
Dunn County,2150,70,220,280,450,320,260,370,180,55033
Eddy County,1150,20,160,210,290,210,100,130,30,38027
Emmons County,1620,80,240,350,400,220,150,150,30,38029
Foster County,1720,0,250,300,420,270,200,200,80,38031
Golden Valley County,910,20,130,180,190,120,110,120,40,38033
Grand Forks County,32520,240,4750,7380,8200,4350,3000,3500,1100,38035
Grant County,1120,90,150,260,260,150,100,90,20,55043
Griggs County,1200,20,200,210,260,210,130,120,50,38039
Hettinger County,1300,60,150,250,290,190,140,170,50,38041
Kidder County,1160,60,160,240,280,170,110,110,30,38043
LaMoure County,1980,70,220,340,450,310,240,250,100,38045
Logan County,920,60,130,190,230,130,90,90,0,54045
McHenry County,2940,100,370,560,730,500,310,320,50,38049
McIntosh County,1400,60,220,280,370,210,120,110,30,40091
McKenzie County,4530,50,410,580,860,710,550,860,510,38053
McLean County,4750,80,580,830,1060,710,640,710,140,38055
Mercer County,4400,50,630,660,700,630,720,920,90,54055
Morton County,15100,190,1880,2920,3650,2270,1760,2000,430,38059
Mountrail County,4680,50,470,710,1010,690,510,760,480,38061
Nelson County,1570,40,210,290,400,250,160,170,50,51125
Oliver County,910,30,110,150,180,140,130,150,20,38065
Pembina County,3610,70,490,630,840,570,440,440,130,38067
Pierce County,2090,50,330,400,510,300,210,250,40,55093
Ramsey County,5750,60,870,1160,1460,790,610,610,190,38071
Ransom County,2730,40,360,510,640,470,350,290,70,38073
Renville County,1330,0,150,230,300,210,180,200,60,38075
Richland County,7880,90,1130,1410,1890,1270,900,890,300,55103
Rolette County,5560,60,1100,1410,1490,700,380,360,60,38079
Sargent County,2050,30,240,360,510,360,250,220,80,38081
Sheridan County,680,40,90,160,160,100,60,70,0,56033
Sioux County,1310,20,300,330,380,160,70,50,0,38085
Slope County,350,0,60,50,80,50,30,80,0,38087
Stark County,16160,170,1800,2630,3420,2400,2050,2840,850,39151
Steele County,940,0,120,150,210,160,100,150,50,38091
Stutsman County,10330,150,1470,1990,2640,1600,1130,1050,300,38093
Towner County,1180,30,170,230,260,180,120,140,50,38095
Traill County,3780,40,490,650,890,590,460,500,160,38097
Walsh County,5470,80,830,1010,1400,850,560,580,160,38099
Ward County,34700,340,3910,7140,8850,4970,3730,4560,1200,48475
Wells County,2200,50,330,440,470,360,230,220,100,38103
Williams County,17670,130,1690,2550,3640,2600,2150,3430,1480,39171
Adams County,14460,160,2410,3170,3610,2110,1290,1270,440,55001
Antelope County,2990,100,470,610,750,430,290,240,100,31003
Arthur County,210,20,50,30,50,30,30,0,0,31005
Banner County,290,0,50,50,80,50,30,30,0,31007
Blaine County,250,30,50,50,70,20,30,0,0,40011
Boone County,2660,90,380,500,620,440,280,260,90,54005
Box Butte County,5320,70,860,1030,1090,840,700,650,80,31013
Boyd County,910,40,160,210,230,130,70,70,0,31015
Brown County,1430,80,250,310,360,200,110,90,30,55009
Buffalo County,21600,290,3320,4600,5270,3060,2230,2210,620,55011
Burt County,3120,50,460,670,760,490,320,320,50,31021
Butler County,3940,70,590,740,990,670,460,340,80,42019
Cass County,12290,150,1760,2190,2640,1910,1480,1820,340,48067
Cedar County,3970,140,640,710,940,680,390,370,100,31027
Chase County,1860,60,260,330,490,280,190,170,80,31029
Cherry County,2860,160,510,620,720,410,190,190,60,31031
Cheyenne County,4950,90,690,930,1260,710,460,610,200,31033
Clay County,2960,60,390,600,780,470,280,270,110,54015
Colfax County,5180,70,700,1070,1850,790,390,250,60,35007
Cuming County,4380,110,660,790,1060,760,430,440,130,31039
Custer County,5230,220,900,1140,1290,780,430,390,80,46033
Dakota County,9740,100,1530,2470,2930,1380,660,570,100,31043
Dawes County,3650,130,760,840,770,510,320,280,40,31045
Dawson County,11290,160,1800,2700,3390,1600,760,700,180,48115
Deuel County,890,30,140,200,230,120,80,90,0,46039
Dixon County,2770,60,400,550,780,430,290,210,50,31051
Dodge County,17540,160,2780,3960,4810,2510,1610,1380,330,55027
Douglas County,258060,2330,37930,56140,63920,34270,22670,30200,10600,55031
Dundy County,860,50,130,150,230,120,80,80,20,31057
Fillmore County,2850,50,420,580,670,430,280,310,110,31059
Franklin County,1450,50,230,310,340,230,130,120,40,53021
Frontier County,1180,50,180,230,310,180,120,110,0,31063
Furnas County,2270,80,350,480,620,360,190,140,50,31065
Gage County,10180,150,1610,2180,2600,1560,970,910,200,31067
Garden County,900,50,150,230,230,110,60,70,0,31069
Garfield County,820,40,130,180,230,110,70,60,0,53023
Gosper County,990,20,160,190,230,160,100,100,30,31073
Grant County,320,0,80,60,90,40,20,30,0,55043
Greeley County,1100,80,170,220,300,150,80,100,0,31077
Hall County,29060,280,4660,7130,8090,3770,2430,2080,620,48191
Hamilton County,4530,60,690,780,1010,720,480,590,200,48193
Harlan County,1580,50,270,330,380,240,140,130,40,31083
Hayes County,440,50,60,80,120,50,40,40,0,31085
Hitchcock County,1360,50,230,260,360,200,130,100,30,31087
Holt County,5110,230,880,1120,1300,720,400,360,100,31089
Hooker County,360,0,70,90,80,70,50,0,0,31091
Howard County,2980,130,440,550,740,530,300,240,50,48227
Jefferson County,3430,70,560,720,940,470,320,250,100,55055
Johnson County,2020,40,320,440,530,320,190,180,0,56019
Kearney County,3170,60,420,600,830,490,290,340,140,31099
Keith County,3980,120,720,960,890,540,340,340,70,31101
Keya Paha County,410,40,70,100,100,40,30,30,0,31103
Kimball County,1660,30,270,360,400,280,180,120,20,31105
Knox County,3890,170,630,860,1010,570,350,240,60,48275
Lancaster County,137690,1220,20890,29270,33480,19590,13750,15620,3870,51103
Lincoln County,16600,290,2820,3580,3620,2480,1830,1650,330,56023
Logan County,350,20,50,70,90,50,40,30,0,54045
Loup County,280,30,40,60,80,40,30,0,0,31115
Madison County,16710,240,2710,3750,4220,2380,1550,1470,390,51113
McPherson County,210,0,40,50,60,20,40,0,0,46089
Merrick County,3600,90,560,770,900,590,340,270,80,31121
Morrill County,2180,60,380,500,530,310,190,170,40,31123
NEBRASKA,879780,11970,133200,184950,216640,125780,84700,96570,25970,31000
Nance County,1630,60,240,330,450,250,160,140,0,31125
Nemaha County,3040,70,490,570,670,440,340,380,80,31127
Nuckolls County,2090,80,330,500,490,310,180,160,40,31129
Otoe County,7470,110,1140,1500,1720,1190,790,860,160,31131
Pawnee County,1270,50,220,280,340,190,90,80,20,40117
Perkins County,1380,50,200,240,310,220,140,170,50,46105
Phelps County,4410,90,680,830,1060,680,440,450,180,31137
Pierce County,3410,110,530,650,750,530,390,370,80,55093
Platte County,16410,200,2520,3220,4280,2560,1670,1580,380,56031
Polk County,2610,60,420,480,600,440,260,270,80,55095
Red Willow County,5030,110,830,1090,1210,740,500,440,110,31145
Richardson County,3780,60,660,830,950,560,330,320,70,31147
Rock County,670,50,100,130,180,100,50,40,20,55105
Saline County,6400,100,920,1260,1870,990,620,540,100,31151
Sarpy County,80990,530,10640,14350,18010,12050,9620,13540,2250,31153
Saunders County,9890,120,1500,1840,2190,1570,1120,1270,280,31155
Scotts Bluff County,16380,280,2690,3940,4150,2270,1420,1330,300,31157
Seward County,7580,90,1110,1290,1610,1290,930,1000,260,31159
Sheridan County,2350,110,410,540,600,310,200,150,30,56033
Sherman County,1440,70,240,320,370,220,110,110,0,48421
Sioux County,560,40,80,120,130,100,40,50,0,38085
Stanton County,2750,70,430,540,680,470,320,200,40,31167
Thayer County,2500,60,370,470,620,380,260,250,90,31169
Thomas County,330,0,70,90,90,30,30,20,0,31171
Thurston County,2630,40,470,690,720,300,180,170,60,53067
Valley County,1950,90,290,430,460,310,170,150,50,31175
Washington County,9500,120,1370,1550,1900,1440,1140,1600,380,55131
Wayne County,3710,60,600,710,840,600,410,410,80,54099
Webster County,1620,40,290,350,430,220,130,120,40,54101
Wheeler County,390,30,50,70,110,60,30,40,0,48483
York County,6690,100,1030,1360,1560,980,700,720,240,51199
Belknap County,32470,530,5140,6490,7830,4730,3210,3530,1010,33001
Carroll County,25590,550,4260,5620,6040,3620,2200,2500,800,51035
Cheshire County,37260,450,5610,7610,9430,5630,3620,3910,1000,33005
Coos County,15140,250,2830,3820,3830,2200,1180,860,170,41011
Grafton County,44070,780,6700,8730,10820,6140,4050,4880,1970,33009
Hillsborough County,208140,2280,31800,37630,45930,29120,20480,31990,8910,33011
Merrimack County,73820,930,11290,13520,17330,10790,7520,10030,2410,33013
Rockingham County,163840,2130,24310,26170,32960,22960,17250,28880,9180,51165
Strafford County,60170,620,8900,12170,14640,8830,5850,7580,1580,33017
Sullivan County,21220,310,3210,4270,5460,3180,2030,2240,520,47163
Atlantic County,137490,1660,21570,35030,33700,17760,10900,13810,3060,34001
Bergen County,458750,8590,64870,73090,84380,60550,43500,80520,43250,34003
Burlington County,223090,2400,30710,37760,46710,32790,23640,37740,11340,34005
Camden County,244490,2470,36100,53550,56100,33440,22490,31730,8610,37029
Cape May County,50020,920,8190,11300,10790,6810,4600,5860,1550,34009
Cumberland County,67860,560,10300,18510,17860,9060,5230,5600,740,51049
Essex County,364770,4830,58610,87450,82370,43750,24820,38850,24090,51057
Gloucester County,137630,1300,19040,24560,27810,20150,15070,24670,5030,51073
Hudson County,320660,3560,48230,76230,74180,44710,25930,33880,13940,34017
Hunterdon County,64130,1130,9220,7930,9330,7550,6380,14090,8500,34019
Mercer County,172880,1930,24940,33240,36000,22400,14870,26440,13060,54055
Middlesex County,399560,4200,55150,74940,80740,55150,39650,68800,20930,51119
Monmouth County,317820,5430,50010,51040,54670,38460,29530,59700,28980,34025
Morris County,252020,3910,34940,34290,40470,31860,24500,51320,30730,48343
Ocean County,278250,4050,42500,56240,58190,40050,28220,40830,8170,34029
Passaic County,245080,2720,39610,63080,56980,28980,18030,27830,7850,34031
Salem County,30730,300,4490,6550,6750,4440,3120,4440,640,34033
Somerset County,166740,2560,22740,23540,27960,20260,15520,32770,21390,42111
Sussex County,72360,990,10440,11210,13100,10300,8440,14150,3730,51183
Union County,269150,3100,40190,57200,58940,35190,21930,35070,17530,47173
Warren County,53200,640,7870,9180,10760,7730,5690,9280,2050,51187
Bernalillo County,303980,4620,47150,74920,75610,38700,23910,30870,8200,35001
Catron County,1370,110,290,360,290,150,80,90,0,35003
Chaves County,25630,430,4620,7200,6500,3040,1800,1590,450,35005
Cibola County,9160,120,1680,2670,2440,1110,640,440,60,35006
Colfax County,5540,160,1050,1550,1360,660,360,330,70,35007
Curry County,21240,270,3220,6140,6030,2610,1370,1390,210,41015
De Baca County,860,50,200,240,190,90,40,50,0,35011
Do̱a Ana County,89250,1300,17430,27670,20280,9350,5810,6220,1190,
Eddy County,24430,300,3580,5150,5350,3850,2590,2890,720,38027
Grant County,12690,310,2490,3180,2830,1700,1080,930,170,55043
Guadalupe County,1840,50,420,620,460,160,70,60,0,48187
Harding County,320,30,60,70,80,50,0,30,0,46063
Hidalgo County,1870,60,380,520,400,230,170,110,0,48215
Lea County,28140,350,3940,5970,6520,4600,2870,3130,760,35025
Lincoln County,9100,330,1670,2530,2140,1000,630,620,180,56023
Los Alamos County,8880,80,1040,820,1040,1050,1100,2860,890,35028
Luna County,10640,230,2360,3640,2440,1030,510,370,60,35029
McKinley County,31570,270,7750,10680,7450,2740,1250,1220,210,35031
Mora County,2020,70,400,690,520,180,80,80,0,35033
Otero County,26020,370,4420,7890,6610,3200,1770,1540,220,35035
Quay County,3670,130,780,1150,840,380,240,130,20,35037
Rio Arriba County,16340,290,2910,4410,4320,2100,1100,1090,120,35039
Roosevelt County,7650,230,1410,2180,2070,870,450,400,40,35041
San Juan County,52730,570,8800,12840,12420,7040,4640,5380,1040,53055
San Miguel County,11360,230,2230,3500,3100,1170,590,440,100,35047
Sandoval County,60890,870,8930,12870,14620,8730,5930,7430,1510,35043
Santa Fe County,74000,2090,10750,16560,18160,9530,5830,8040,3040,35049
Sierra County,4880,200,1050,1590,1130,470,220,180,40,35051
Socorro County,6900,130,1430,2050,1750,750,370,360,60,35053
Taos County,15390,540,3350,4440,3580,1560,820,840,260,35055
Torrance County,5700,160,1150,1620,1430,660,370,270,40,35057
Union County,1670,80,290,400,460,210,100,100,30,47173
Valencia County,30010,440,4990,7960,8070,3870,2290,2140,250,35061
Carson City,26580,540,4000,6300,6790,3720,2270,2420,540,32510
Churchill County,10930,240,1600,2480,2620,1760,1120,990,120,32001
Clark County,944190,16360,122400,240160,266440,123760,70310,81180,23580,55019
Douglas County,25090,760,3230,4890,5680,3680,2480,3240,1130,55031
Elko County,23650,250,2900,4400,4420,3760,3370,3970,580,32007
Esmeralda County,390,0,70,80,110,60,40,30,0,32009
Eureka County,800,30,110,140,100,150,130,140,0,32011
Humboldt County,8200,160,1070,1620,1470,1260,1070,1340,210,32013
Lander County,2760,30,400,450,470,470,420,460,60,32015
Lincoln County,1780,40,280,370,380,320,220,170,0,56023
Lyon County,24180,470,3620,5820,6360,3720,2120,1870,200,32019
Mineral County,1950,40,310,450,550,300,180,120,0,54057
NEVADA,1307550,23450,173900,322880,352580,175090,103680,121280,34690,32000
Nye County,18110,470,2750,4560,4070,2650,1720,1670,220,32023
Pershing County,2080,40,300,410,500,370,230,210,20,32027
Storey County,1820,40,250,400,410,280,190,230,20,32029
Washoe County,210920,3920,30000,49580,51250,28120,17320,22780,7950,32031
White Pine County,4140,70,610,780,950,710,480,470,70,32033
Albany County,150370,1510,21650,29210,35090,21980,14670,20830,5430,56001
Allegany County,19000,220,3290,4630,4720,2960,1680,1360,140,36003
Bronx County,634080,4670,132760,206080,161760,69020,30720,25360,3710,36005
Broome County,89400,940,15620,21820,20880,12400,7480,8540,1720,36007
Cattaraugus County,34560,380,6020,8740,8740,5050,2800,2430,400,36009
Cayuga County,35600,350,5830,8270,8640,5370,3340,3320,480,36011
Chautauqua County,57550,660,10790,14850,13760,8000,4690,4140,660,36013
Chemung County,39520,360,6670,9480,9050,5700,3580,3820,860,36015
Chenango County,22870,330,3790,5530,6030,3370,1890,1720,210,36017
Clinton County,36240,390,5620,8330,8990,5280,3420,3710,500,42035
Columbia County,29930,580,4670,6300,6920,4270,2790,3470,930,55021
Cortland County,20510,250,3470,4700,5170,3030,1830,1800,260,36023
Delaware County,20030,420,3480,4800,4950,2950,1640,1560,230,42045
Dutchess County,138930,1870,20490,24570,28060,19470,14720,23760,5990,36027
Erie County,444980,3870,73970,100180,104440,60740,40880,48980,11920,42049
Essex County,17760,280,3000,3980,4430,2620,1610,1550,290,51057
Franklin County,20070,290,3270,4930,5120,2990,1740,1530,200,53021
Fulton County,24880,330,3950,6000,6770,3550,2080,1960,240,42057
Genesee County,28200,230,4620,6370,7090,4210,2740,2620,320,36037
Greene County,22070,380,3550,4930,5120,3300,2120,2320,350,51079
Hamilton County,2640,70,430,540,660,390,260,250,40,48193
Herkimer County,28180,380,4590,6630,7360,4310,2450,2200,260,36043
Jefferson County,51960,470,8700,13730,13830,6830,3830,3980,590,55055
Kings County,1181020,16830,216660,326140,282050,143830,76760,86300,32450,36047
Lewis County,11880,230,1880,2720,3150,1840,1080,870,110,54041
Livingston County,28090,300,4370,5920,6800,4300,2860,3130,410,36051
Madison County,31430,390,5060,6850,7510,4570,2850,3450,750,51113
Monroe County,359990,3580,59560,78610,83660,48720,32600,42180,11080,55081
Montgomery County,22760,300,3740,5590,6120,3200,1830,1770,210,51121
Nassau County,703060,12970,104920,112810,124510,87950,66620,129690,63590,36059
New York County,880460,20080,122950,157100,159550,111120,71620,119860,118180,36061
Niagara County,104480,870,17330,24780,25510,14640,9610,10410,1330,36063
Oneida County,104520,1040,17460,24820,26060,14620,9020,9750,1750,55085
Onondaga County,221320,2070,36430,47950,51020,30510,20000,26560,6780,36067
Ontario County,53780,600,8830,11220,12060,7620,5130,6540,1780,36069
Orange County,176420,2100,27380,36630,35270,22620,17330,28510,6580,51137
Orleans County,18530,200,3000,4560,4880,2740,1600,1410,140,50019
Oswego County,53270,570,8890,12360,13030,7800,4890,5190,540,36075
Otsego County,26510,510,4400,6060,6520,3860,2350,2290,520,36077
Putnam County,49270,770,7360,7060,8220,6390,5380,10610,3480,54079
Queens County,1118140,14240,215860,283740,260580,147060,84060,93230,19370,36081
Rensselaer County,76680,710,11280,15020,18540,11580,7830,10140,1580,36083
Richmond County,216710,3150,33250,40590,42690,30140,23310,35750,7830,51159
Rockland County,148090,2320,22000,29430,26950,17330,13060,26160,10840,36087
Saratoga County,114190,1230,15930,19400,23580,16490,12660,20120,4780,36091
Schenectady County,75650,640,11730,16180,17550,10670,7310,9760,1810,36093
Schoharie County,13690,280,2110,2980,3380,2150,1310,1340,140,36095
Schuyler County,8690,120,1370,2030,2160,1360,770,780,100,36097
Seneca County,15500,200,2530,3730,3900,2220,1390,1340,190,39147
St. Lawrence County,43540,520,6830,10660,10520,6580,4010,3960,460,36089
Steuben County,44150,530,7440,10420,10490,6560,3860,3960,890,36101
Suffolk County,768160,10300,113150,142370,151270,99000,73710,132910,45450,36103
Sullivan County,33600,560,5530,7870,8130,4630,2980,3340,560,47163
