county_name,total,under1,under10k,under25k,under50k,under75k,under100k,under200k,over200k,fipscode
Mesa County,67010,1200,10000,15010,15590,10190,6540,6870,1610,8077
Mineral County,420,0,70,100,100,60,40,50,0,54057
Moffat County,5700,110,830,1140,1170,840,750,760,100,8081
Montezuma County,11330,310,1870,2710,2770,1570,960,910,230,8083
Montrose County,17820,490,2840,4200,4280,2660,1600,1440,310,8085
Morgan County,12350,250,1790,2690,3790,1720,960,950,200,54065
Otero County,7460,160,1260,2150,1970,960,480,400,80,35035
Ouray County,2370,120,310,460,510,340,220,310,100,8091
Park County,7000,180,900,1300,1530,1120,820,970,180,56029
Phillips County,2000,40,300,420,480,300,180,200,80,30071
Pitkin County,10160,530,1150,1800,2480,1340,790,1170,900,8097
Prowers County,4930,120,790,1260,1320,660,410,300,70,8099
Pueblo County,67690,840,10810,17300,17190,9690,5670,5280,910,8101
Rio Blanco County,2820,70,360,460,570,490,400,410,60,8103
Rio Grande County,5840,130,1070,1660,1460,670,380,360,110,8105
Routt County,12630,400,1730,2470,3030,1650,1140,1510,700,8107
Saguache County,1830,90,410,490,440,200,90,80,30,8109
San Juan County,340,0,70,90,80,40,30,30,0,53055
San Miguel County,4110,170,510,960,1080,490,300,380,220,35047
Sedgwick County,1070,40,170,270,270,150,70,80,20,20173
Summit County,16120,380,1900,3720,4280,1890,1270,1830,850,49043
Teller County,11240,260,1480,2180,2450,1710,1290,1590,280,8119
Washington County,1990,80,280,430,520,310,170,170,30,55131
Weld County,118580,1680,15640,23610,28890,18100,12370,14990,3300,8123
Yuma County,4440,100,670,950,1300,550,360,360,150,8125
CONNECTICUT,1749500,22670,258170,324140,365440,239740,164460,262400,112480,9000
Fairfield County,456910,8490,70350,79000,84540,53430,37010,68470,55620,45039
Hartford County,443430,4360,64770,84080,97160,63240,42630,65110,22080,9003
Litchfield County,94910,1400,13570,16610,19920,14140,10150,15000,4120,9005
Middlesex County,83770,1070,11420,12910,16030,12490,9290,15830,4730,51119
New Haven County,413110,4710,62660,82840,91100,58570,38570,57900,16760,9009
New London County,134680,1440,18680,26950,29920,19510,13330,19990,4860,9011
Tolland County,68520,650,9170,10480,13300,10040,7830,13680,3370,9013
Windham County,54230,560,7550,11280,13470,8330,5650,6450,940,50025
District of Columbia,331030,4240,38280,62010,79400,50990,30020,42720,23370,11001
DELAWARE,439430,4280,62980,94610,105200,61910,40690,55250,14510,10000
Kent County,77180,670,11300,18810,19720,11070,7080,7480,1050,48263
New Castle County,261880,2210,36550,51400,61080,37540,24860,37440,10800,10003
Sussex County,100380,1410,15140,24400,24400,13300,8750,10330,2650,51183
Alachua County,108330,1900,17780,27870,25070,12790,8350,10880,3690,12001
Baker County,10050,90,1520,2510,2730,1380,930,810,80,41001
Bay County,85200,1430,13590,23170,20870,10570,6630,7110,1830,26017
Bradford County,9580,150,1350,2730,2650,1290,750,580,80,42015
Brevard County,266650,5240,41120,66390,60540,34610,22800,28830,7120,12009
Broward County,927040,19940,160920,250650,215300,104920,60860,82130,32320,12011
Calhoun County,4830,70,750,1460,1360,600,290,250,50,54013
